text,hate,offensive,neutral
I hate you,1,,
You are annoying,,1,
I love everyone,,,1
Have a nice day,,,1
I despise you,1,,
You’re so dumb,,1,
"Hello, how are you?",,,1
What a wonderful day,,,1
"I can’t stand those idiots, they ruin everything",,1,
You’re pathetic and worthless,,1,
People like that should not exist,1,,
"That is disgusting behavior, stay away from me",,1,
I hope they fail at everything they do,,1,
Life is good when you ignore negativity,,,1
"Just had a great day with friends, feeling happy",,,1
People who hurt others on purpose are the worst,1,,
"Stop being so obnoxious, it’s annoying",,1,
Reading a good book is relaxing,,,1
I hate people who cheat and lie constantly,1,,
That was a nasty thing to say,,1,
Enjoying the sunny weather today,,,1
Those who betray trust are terrible,1,,
"Your attitude is horrible, fix it",,1,
