text,hate,offensive,neutral
I bought new tires for my car this morning.,,,1
The local basketball team won their game last night by three points.,,,1
All the members of that political party are traitors and should be locked up.,1,,
This paperwork needs to be filed before the end of the business day.,,,1
"Look at that moron trying to park, what an absolute idiot.",,1,
Those people should stop complaining and just go back to their own country.,1,,
The concert has been rescheduled for next Tuesday evening.,,,1
"You are a terrible, selfish person and I can't stand you.",,1,
Their religious customs are archaic and belong in the past.,1,,
The scientific community is still debating the new findings.,,,1
I wish they would just shut the fuck up about their weird hobbies.,,1,
All women are too emotional to hold positions of real power.,1,,
The total rainfall for the month of July exceeded the historical average.,,,1
What a pathetic loser; he couldn't do anything right if he tried.,,1,
This entire group is nothing but a bunch of lazy criminals.,1,,
Please remember to turn off the lights when you leave the room.,,,1
Your mother is a whore and you are a product of her poor choices.,,1,
We need to finalize the quarterly report by Friday at noon.,,,1
The company is facing a significant economic downturn next year.,,,1
They’re all a bunch of terrorists waiting for their chance to strike.,1,,
That song is totally boring and uninspired; I hate it.,,1,
"The dog chased the ball across the wide, open field.",,,1
Anyone who supports that candidate is a brainless sheep.,,1,
The conference will take place in the main auditorium.,,,1
Why are all those *[derogatory term for sexual orientation]* always so loud?,1,,
"This coffee is too hot to drink right now, I'll wait a minute.",,,1
She's a bitch and deserves everything bad that happens to her.,,1,
I think we should reconsider the proposal before signing.,,,1
"Get over it, stop being such a crybaby about a minor inconvenience.",,1,
They are all uneducated scum and a drain on society.,1,,
The new bridge construction is expected to be completed in 2026.,,,1
I hate his guts; he's the worst manager I've ever had.,,1,
I need to pick up some milk and bread from the grocery store later.,,,1
It's an obvious conspiracy; those *[racial slur]* control everything.,1,,
Could you please pass me the salt and pepper shakers?,,,1
What the hell were you thinking when you made that mistake?,,1,
All immigrants are stealing jobs and ruining our culture.,1,,
The capital city experienced an unexpected power outage.,,,1
That idea is just stupid; no one will ever agree to it.,,1,
The book received mixed reviews from literary critics.,,,1
"This movie is such a goddamn waste of time, I want my money back.",,1,
People with disabilities are a burden on our healthcare system.,1,,
The instructions for assembling the furniture were unclear.,,,1
He is a spineless worm who will betray anyone for money.,,1,
I saw a beautiful rainbow after the brief afternoon shower.,,,1
Don't be such a faggot; man up and take the criticism.,1,,
I believe that a strong handshake is a sign of good character.,,,1
That politician is a lying snake who can't be trusted.,,1,
The train will arrive at platform three in approximately five minutes.,,,1
The only good *[religious group]* is a dead *[religious group]*.,1,,
Remember to save your work frequently to prevent data loss.,,,1
"You're fired, you worthless piece of trash.",,1,
The garden center is having a large sale on perennial plants.,,,1
Anyone who believes that is a complete imbecile.,,1,
Those guys are nothing but degenerate perverts.,1,,
The new algorithm dramatically improved search accuracy.,,,1
"You look fat and ugly in that outfit, change immediately.",,1,
All the rich folks are hoarding wealth and are totally evil.,,1,
The car needs a new battery and an oil change soon.,,,1
I'm going to kick your ass if you don't leave right now.,,1,
The stock market showed surprising resilience this quarter.,,,1
We should build a wall to keep those foreign invaders out.,1,,
"This entire dish tastes like absolute shit, send it back.",,1,
The documentary explored the history of early jazz music.,,,1
"He's a joke, a useless lump of skin and bone.",,1,
The sun sets earlier in the day during the winter months.,,,1
They are simply inferior intellectually and genetically.,1,,
The speed limit on this stretch of highway is 65 miles per hour.,,,1
I couldn't care less about your stupid little feelings.,,1,
Can you help me move this box to the storage unit upstairs?,,,1
"The boss is a complete tyrant, a real power-hungry monster.",,1,
All members of that socioeconomic class are lazy parasites.,1,,
The temperature outside is currently 15 degrees Celsius.,,,1
That reporter is a total hack and his stories are fiction.,,1,
I have lived in this neighbourhood for over twenty years now.,,,1
They are fundamentally incompatible with our society's values.,1,,
Did you remember to lock the front door when you came in?,,,1
The only reason he got promoted is because he's a brown-noser.,,1,
The company’s quarterly earnings were publicly released today.,,,1
We should eradicate all people who have different beliefs than us.,1,,
I'm going to take a long nap after a stressful week of work.,,,1
This whole situation is fucked up beyond repair.,,1,
The museum features an impressive collection of ancient artifacts.,,,1
"I hope you fall on your face and break all your teeth, you scumbag.",,1,
The government announced new regulations for environmental protection.,,,1
The only way to deal with *[ethnic group]* is to treat them like dirt.,1,,
I prefer vanilla ice cream over chocolate and strawberry flavors.,,,1
You are nothing but a burden and a stain on humanity.,,1,
The lecture covered basic principles of quantum physics.,,,1
That entire race of people is fundamentally less intelligent than us.,1,,
"Please be quiet, I am trying to concentrate on this difficult task.",,,1
I am utterly disgusted by your disgusting behavior.,,1,
The planet Mars is known for its distinctive reddish color.,,,1
All homosexuals are abnormal and an abomination.,1,,
The meeting is scheduled to end no later than 3:30 PM.,,,1
You suck at everything and your opinions are worthless.,,1,
The average lifespan of a domesticated cat is about 15 years.,,,1
We should stop all immigration immediately to preserve our nation.,1,,
I need to charge my phone because the battery is almost dead.,,,1
This weather is absolutely amazing for a weekend picnic.,,,1
"He's a slimy snake in the grass, watch your back around him.",,1,
All transgender people are mentally ill and delusional.,1,,
